НАИМЕНОВАНИЕ;АРТИКУЛ;ИМЯ_БРЕНДА;СТРАНА_БРЕНДА;РАЗДЕЛ;КАТЕГОРИЯ;ЦЕНА;ИЗОБРАЖЕНИЕ;КОЛЛЕКЦИЯ;ОПИСАНИЕ;ХАРАКТЕРИСТИКИ
Торшер Odeon Light York 4788/12F;4788/12F;Odeon Light;Италия;Торшеры;С 1 плафоном;80660;https://www.vamsvet.ru/upload/iblock/0ce/vamsvet-torsher-odeon-light-york-4788-12f.jpeg|https://www.vamsvet.ru/upload/iblock/286/torsher-odeon-light-york-4788-12f-1.jpeg|https://www.vamsvet.ru/upload/iblock/eaa/torsher-odeon-light-york-4788-12f-2.jpeg|https://www.vamsvet.ru/upload/iblock/4a0/048c41d5-ed17-11ea-80d8-ac1f6bbcde7f3.jpeg|https://www.vamsvet.ru/upload/iblock/dba/048c41d5-ed17-11ea-80d8-ac1f6bbcde7f4.jpeg|https://www.vamsvet.ru/upload/iblock/0ce/vamsvet-torsher-odeon-light-york-4788-12f.jpeg|https://www.vamsvet.ru/upload/iblock/286/torsher-odeon-light-york-4788-12f-1.jpeg|https://www.vamsvet.ru/upload/iblock/eaa/torsher-odeon-light-york-4788-12f-2.jpeg|https://www.vamsvet.ru/upload/iblock/4a0/048c41d5-ed17-11ea-80d8-ac1f6bbcde7f3.jpeg|https://www.vamsvet.ru/upload/iblock/dba/048c41d5-ed17-11ea-80d8-ac1f6bbcde7f4.jpeg;Hall;Необыкновенная модель 4788/12F со встроенным выключателем от итальянской компании Odeon Light относится к коллекции Hall и отлично подойдет для установки на пол в гостиной, оформленной в стиле арт-деко. Торшер Odeon Light York 4788/12F с цилиндрическими плафонами осветит помещение площадью 26.7 кв. м. Производитель Odeon Light рекомендует использовать для устройства лампы накаливания с цоколем E14 и мощностью 40 W. Прибор произведен с использованием материалов: стекло и металл. Основным цветом товара является золотой и прозрачный. Торшер York 4788/12F продается по цене 80660 руб. Торопитесь сделать заказ в интернет-магазине ВамСвет.;Артикул:4788/12F||Бренд:Odeon Light||Страна бренда:Италия||Коллекция:Hall||Серия:York||Стиль:Арт-деко||Высота, мм:1650||Диаметр, мм:300||Тип цоколя:E14||Тип лампочки (основной):Накаливания||Количество ламп:12||Мощность лампы, W:40||Общая мощность, W:480||Площадь освещения, м2:26.7||Напряжение, V:220-240||Виды материалов:Стеклянные||Материал арматуры:Металл||Материал плафонов:Стекло||Вид рассеивателя:Декоративный||Форма рассеивателя:Цилиндр||Цвет:Золотой||Цвет арматуры:Золотой||Цвет плафонов:Прозрачный||Степень защиты:IP20||Интерьер:Для гостиной||Место установки:На пол||Наличие выключателя:Да||Гарантия производителя:2,5 года||Гарантия магазина:12 месяцев||Раздел:Торшеры||Каталог:С 1 плафоном
Торшер Arte Lamp Rodos A2589PN-1SS;A2589PN-1SS;Arte Lamp;Италия;Торшеры;С 1 плафоном;11990;https://www.vamsvet.ru/upload/iblock/bf4/vamsvet-torsher-arte-lamp-rodos-a2589pn-1ss.jpeg|https://www.vamsvet.ru/upload/iblock/9e4/torsher-arte-lamp-rodos-a2589pn-1ss-1.jpeg|https://www.vamsvet.ru/upload/iblock/253/torsher-arte-lamp-rodos-a2589pn-1ss-2.jpeg|https://www.vamsvet.ru/upload/iblock/2c8/torsher-arte-lamp-rodos-a2589pn-1ss-3.jpeg|https://www.vamsvet.ru/upload/iblock/bf4/vamsvet-torsher-arte-lamp-rodos-a2589pn-1ss.jpeg|https://www.vamsvet.ru/upload/iblock/9e4/torsher-arte-lamp-rodos-a2589pn-1ss-1.jpeg|https://www.vamsvet.ru/upload/iblock/253/torsher-arte-lamp-rodos-a2589pn-1ss-2.jpeg|https://www.vamsvet.ru/upload/iblock/2c8/torsher-arte-lamp-rodos-a2589pn-1ss-3.jpeg;Rodos;Выдающаяся модель A2589PN-1SS от итальянской компании Arte Lamp относится к коллекции Rodos и отлично подойдет для установки на пол спальни, оформленной в современном стиле. Торшер Arte Lamp Rodos A2589PN-1SS с конусными плафонами осветит помещение площадью 3.3 кв. м. Производитель Arte Lamp рекомендует использовать для устройства лампы накаливания с цоколем E27 и мощностью 60 W. Прибор произведен с использованием материалов: текстиль, металл и ткань. Основным цветом товара является белый и серебряный. Торшер A2589PN-1SS продается по цене 11990 руб. Торопитесь сделать заказ в интернет-магазине ВамСвет.;Артикул:A2589PN-1SS||Бренд:Arte Lamp||Страна бренда:Италия||Страна производства:Китай||Коллекция:Rodos||Стиль:Современный||Высота, мм:1500||Диаметр, мм:320||Тип цоколя:E27||Тип лампочки (основной):Накаливания||Количество ламп:1||Мощность лампы, W:60||Общая мощность, W:60||Площадь освещения, м2:3.3||Напряжение, V:220-240||Виды материалов:Текстильные||Материал арматуры:Металл||Материал плафонов:Ткань||Вид рассеивателя:Абажур||Форма рассеивателя:Конусный||Цвет:Белый||Цвет арматуры:Серебро||Цвет плафонов:Белый||Степень защиты:IP20||Интерьер:Для спальни||Место установки:На пол||Гарантия производителя:12 месяцев||Гарантия магазина:12 месяцев||Раздел:Торшеры||Каталог:С 1 плафоном
Торшер Arte Lamp Sceptrum A1822PN-1BK;A1822PN-1BK;Arte Lamp;Италия;Торшеры;С 1 плафоном;8990;https://www.vamsvet.ru/upload/iblock/e16/vamsvet-torsher-arte-lamp-sceptrum-a1822pn-1bk.jpeg|https://www.vamsvet.ru/upload/iblock/388/torsher-arte-lamp-sceptrum-a1822pn-1bk-1.jpeg|https://www.vamsvet.ru/upload/iblock/7fa/torsher-arte-lamp-sceptrum-a1822pn-1bk-2.jpeg|https://www.vamsvet.ru/upload/iblock/f7d/torsher-arte-lamp-sceptrum-a1822pn-1bk-3.jpeg|https://www.vamsvet.ru/upload/iblock/f40/torsher-arte-lamp-sceptrum-a1822pn-1bk-4.jpeg|https://www.vamsvet.ru/upload/iblock/e16/vamsvet-torsher-arte-lamp-sceptrum-a1822pn-1bk.jpeg|https://www.vamsvet.ru/upload/iblock/388/torsher-arte-lamp-sceptrum-a1822pn-1bk-1.jpeg|https://www.vamsvet.ru/upload/iblock/7fa/torsher-arte-lamp-sceptrum-a1822pn-1bk-2.jpeg|https://www.vamsvet.ru/upload/iblock/f7d/torsher-arte-lamp-sceptrum-a1822pn-1bk-3.jpeg|https://www.vamsvet.ru/upload/iblock/f40/torsher-arte-lamp-sceptrum-a1822pn-1bk-4.jpeg;Sceptrum;Феноменальная модель A1822PN-1BK от итальянской компании Arte Lamp относится к коллекции Sceptrum и отлично подойдет для установки на пол в гостиной, оформленной в современном стиле. Торшер Arte Lamp Sceptrum A1822PN-1BK с круглыми плафонами осветит помещение площадью 5 кв. м. холодным светом. Осветительный элемент встроен в конструкцию и не требует приобретения дополнительных лампочек. Прибор произведен с использованием материалов: пластик и металл. В комплект поставки входит пульт дистанционного управления. Основным цветом товара является белый и черный. Торшер A1822PN-1BK с диммером продается по цене 8990 руб. Торопитесь сделать заказ в интернет-магазине ВамСвет.;Артикул:A1822PN-1BK||Бренд:Arte Lamp||Страна бренда:Италия||Страна производства:Китай||Коллекция:Sceptrum||Стиль:Современный||Количество плафонов:1||Высота, мм:1750||Диаметр, мм:252||Тип цоколя:LED||Тип лампочки (основной):Светодиодная||Мощность лампы, W:20||Общая мощность, W:20||Площадь освещения, м2:5||Световой поток, lm:1500||Цветовая температура:3000K||Лампы в комплекте:Да||Напряжение, V:220-240||Соответствие лампы накаливания, Вт:150||Индекс цветопередачи, Ra:80||Виды материалов:Пластиковые||Материал арматуры:Металл||Материал плафонов:Пластик||Вид рассеивателя:Плафон||Форма рассеивателя:Круглый||Цвет:Белый||Цвет арматуры:Черный||Цвет плафонов:Белый||Степень защиты:IP20||Интерьер:Для гостиной||Место установки:На пол||Пульт ДУ:Да||Наличие диммера:Да||Тип управления:пульт ДУ||Цвет свечения:Теплый белый||Срок службы:25000 часов||Гарантия производителя:12 месяцев||Гарантия магазина:12 месяцев||Раздел:Торшеры||Каталог:С 1 плафоном
Торшер Arte Lamp Alice A3579PN-3AB;A3579PN-3AB;Arte Lamp;Италия;Торшеры;С 1 плафоном;33990;https://www.vamsvet.ru/upload/iblock/cd1/vamsvet-torsher-arte-lamp-alice-a3579pn-3ab.jpeg|https://www.vamsvet.ru/upload/iblock/483/torsher-arte-lamp-alice-a3579pn-3ab-1.jpeg|https://www.vamsvet.ru/upload/iblock/05d/torsher-arte-lamp-alice-a3579pn-3ab-2.jpeg|https://www.vamsvet.ru/upload/iblock/79c/torsher-arte-lamp-alice-a3579pn-3ab-3.jpeg|https://www.vamsvet.ru/upload/iblock/cd1/vamsvet-torsher-arte-lamp-alice-a3579pn-3ab.jpeg|https://www.vamsvet.ru/upload/iblock/483/torsher-arte-lamp-alice-a3579pn-3ab-1.jpeg|https://www.vamsvet.ru/upload/iblock/05d/torsher-arte-lamp-alice-a3579pn-3ab-2.jpeg|https://www.vamsvet.ru/upload/iblock/79c/torsher-arte-lamp-alice-a3579pn-3ab-3.jpeg;Alice;Неповторимая модель A3579PN-3AB от итальянской компании Arte Lamp относится к коллекции Alice и отлично подойдет для установки на пол в гостиной, оформленной в стиле арт-деко. Торшер Arte Lamp Alice A3579PN-3AB с конусными плафонами осветит помещение площадью 6.7 кв. м. Производитель Arte Lamp рекомендует использовать для устройства лампы накаливания с цоколем E14 и мощностью 40 W. Прибор произведен с использованием материалов: текстиль, металл и ткань. Основным цветом товара является бежевый и бронзовый. Торшер A3579PN-3AB продается по цене 33990 руб. Торопитесь сделать заказ в интернет-магазине ВамСвет.;Артикул:A3579PN-3AB||Бренд:Arte Lamp||Страна бренда:Италия||Страна производства:Китай||Коллекция:Alice||Стиль:Арт-деко||Высота, мм:1650||Диаметр, мм:450||Тип цоколя:E14||Тип лампочки (основной):Накаливания||Количество ламп:3||Мощность лампы, W:40||Общая мощность, W:120||Площадь освещения, м2:6.7||Напряжение, V:220-240||Виды материалов:Текстильные||Материал арматуры:Металл||Материал плафонов:Ткань||Вид рассеивателя:Абажур||Форма рассеивателя:Конусный||Цвет:Бежевый||Цвет арматуры:Бронза||Цвет плафонов:Бежевый||Степень защиты:IP20||Интерьер:Для гостиной||Место установки:На пол||Пульт ДУ:Нет||Гарантия производителя:12 месяцев||Гарантия магазина:12 месяцев||Раздел:Торшеры||Каталог:С 1 плафоном
Торшер Maytoni Alicante MOD014FL-01N;MOD014FL-01N;Maytoni;Германия;Торшеры;С 1 плафоном;22790;https://www.vamsvet.ru/upload/iblock/81a/vamsvet-torsher-maytoni-alicante-mod014fl-01n.jpeg;Alicante;Несравненная модель MOD014FL-01N от немецкой компании Maytoni относится к коллекции Alicante и отлично подойдет для установки на пол в гостиной, оформленной в дизайнерском стиле. Торшер Maytoni Alicante MOD014FL-01N с цилиндрическими плафонами осветит помещение площадью 2.2 кв. м. Производитель Maytoni рекомендует использовать для устройства лампы накаливания с цоколем E27 и мощностью 40 W. Прибор произведен с использованием материалов: текстиль, металл и ткань. Основным цветом товара является белый и никелевый. Торшер MOD014FL-01N продается по цене 22790 руб. Торопитесь сделать заказ в интернет-магазине ВамСвет.;Артикул:MOD014FL-01N||Бренд:Maytoni||Страна бренда:Германия||Коллекция:Alicante||Стиль:Дизайнерский||Высота, мм:1580||Диаметр, мм:400||Тип цоколя:E27||Тип лампочки (основной):Накаливания||Количество ламп:1||Мощность лампы, W:40||Общая мощность, W:40||Площадь освещения, м2:2.2||Напряжение, V:220-240||Виды материалов:Текстильные||Материал арматуры:Металл||Материал плафонов:Ткань||Вид рассеивателя:Абажур||Форма рассеивателя:Цилиндр||Цвет:Белый||Цвет арматуры:Никель||Цвет плафонов:Белый||Тип поверхности:Матовая||Степень защиты:IP20||Интерьер:Для гостиной||Место установки:На пол||Гарантия производителя:2 года||Гарантия магазина:12 месяцев||Раздел:Торшеры||Каталог:С 1 плафоном
Торшер Maytoni Bergamo MOD613FL-01B;MOD613FL-01B;Maytoni;Германия;Торшеры;С 1 плафоном;19190;https://www.vamsvet.ru/upload/iblock/d61/vamsvet-torsher-maytoni-bergamo-mod613fl-01b.jpeg|https://www.vamsvet.ru/upload/iblock/b02/torsher-maytoni-bergamo-mod613fl-01b-1.jpeg|https://www.vamsvet.ru/upload/iblock/f97/torsher-maytoni-bergamo-mod613fl-01b-2.jpeg|https://www.vamsvet.ru/upload/iblock/ed2/torsher-maytoni-bergamo-mod613fl-01b-3.jpeg|https://www.vamsvet.ru/upload/iblock/f6e/torsher-maytoni-bergamo-mod613fl-01b-4.jpeg|https://www.vamsvet.ru/upload/iblock/261/torsher-maytoni-bergamo-mod613fl-01b-5.jpeg|https://www.vamsvet.ru/upload/iblock/d61/vamsvet-torsher-maytoni-bergamo-mod613fl-01b.jpeg|https://www.vamsvet.ru/upload/iblock/b02/torsher-maytoni-bergamo-mod613fl-01b-1.jpeg|https://www.vamsvet.ru/upload/iblock/f97/torsher-maytoni-bergamo-mod613fl-01b-2.jpeg|https://www.vamsvet.ru/upload/iblock/ed2/torsher-maytoni-bergamo-mod613fl-01b-3.jpeg|https://www.vamsvet.ru/upload/iblock/f6e/torsher-maytoni-bergamo-mod613fl-01b-4.jpeg|https://www.vamsvet.ru/upload/iblock/261/torsher-maytoni-bergamo-mod613fl-01b-5.jpeg;Bergamo;Неподражаемая модель MOD613FL-01B со встроенным выключателем от немецкой компании Maytoni относится к коллекции Bergamo и отлично подойдет для установки на пол спальни, оформленной в современном стиле. Торшер Maytoni Bergamo MOD613FL-01B с конусными плафонами осветит помещение площадью 3.3 кв. м. Производитель Maytoni рекомендует использовать для устройства лампы накаливания с цоколем E27 и мощностью 60 W. Прибор произведен с использованием материалов: текстиль, металл и ткань. Основным цветом товара является дымчатый и хромовый. Торшер MOD613FL-01B продается по цене 19190 руб. Торопитесь сделать заказ в интернет-магазине ВамСвет.;Артикул:MOD613FL-01B||Бренд:Maytoni||Страна бренда:Германия||Коллекция:Bergamo||Стиль:Современный||Высота, мм:1700||Диаметр, мм:420||Тип цоколя:E27||Тип лампочки (основной):Накаливания||Количество ламп:1||Мощность лампы, W:60||Общая мощность, W:60||Площадь освещения, м2:3.3||Напряжение, V:220-240||Виды материалов:Текстильные||Материал арматуры:Металл||Материал плафонов:Ткань||Вид рассеивателя:Абажур||Форма рассеивателя:Конусный||Цвет:Дымчатый||Цвет арматуры:Хром||Цвет плафонов:Дымчатый||Степень защиты:IP20||Интерьер:Для спальни||Место установки:На пол||Пульт ДУ:Нет||Наличие выключателя:Да||Гарантия производителя:2 года||Гарантия магазина:12 месяцев||Раздел:Торшеры||Каталог:С 1 плафоном
Торшер Maytoni Estudo Z010FL-L8B3K;Z010FL-L8B3K;Maytoni;Германия;Торшеры;С 1 плафоном;24990;https://www.vamsvet.ru/upload/iblock/f6d/vamsvet-torsher-maytoni-estudo-z010fl-l8b3k.jpeg|https://www.vamsvet.ru/upload/iblock/f6d/vamsvet-torsher-maytoni-estudo-z010fl-l8b3k.jpeg|https://www.vamsvet.ru/upload/iblock/80c/82cf51b8-eb6d-11e9-bc61-002590ec3f3a2.jpeg;Estudo;Поразительная модель Z010FL-L8B3K от немецкой компании Maytoni относится к коллекции Estudo и отлично подойдет для установки на пол в гостиной, оформленной в современном стиле. Осветительный элемент встроен в конструкцию и не требует приобретения дополнительных лампочек. Прибор произведен с использованием материала: металл. Основным цветом товара является черный. Торшер Z010FL-L8B3K продается по цене 24990 руб. Торопитесь сделать заказ в интернет-магазине ВамСвет.;Артикул:Z010FL-L8B3K||Бренд:Maytoni||Страна бренда:Германия||Коллекция:Estudo||Стиль:Современный||Ширина, мм:240||Высота, мм:1387||Длина, мм:305||Тип цоколя:LED||Тип лампочки (основной):Светодиодная||Мощность лампы, W:8||Общая мощность, W:8||Световой поток, lm:700||Цветовая температура:3000K||Напряжение, V:220-240||Индекс цветопередачи, Ra:85||Виды материалов:Металлические||Материал арматуры:Металл||Материал плафонов:Металл||Вид рассеивателя:Плафон||Форма рассеивателя:Цилиндр||Цвет:Черный||Цвет арматуры:Черный||Цвет плафонов:Черный||Степень защиты:IP20||Интерьер:Для гостиной||Место установки:На пол||Гарантия производителя:3 года||Гарантия магазина:12 месяцев||Раздел:Торшеры||Каталог:С 1 плафоном
Торшер Eurosvet 009/1T RDM;009/1T RDM;Eurosvet;Россия;Торшеры;С 1 плафоном;9000;https://www.vamsvet.ru/upload/iblock/28d/vamsvet-torsher-eurosvet-009-1t-rdm.jpeg|https://www.vamsvet.ru/upload/iblock/0fe/torsher-eurosvet-009-1t-rdm-1.jpeg|https://www.vamsvet.ru/upload/iblock/e8e/torsher-eurosvet-009-1t-rdm-2.jpeg|https://www.vamsvet.ru/upload/iblock/28d/vamsvet-torsher-eurosvet-009-1t-rdm.jpeg|https://www.vamsvet.ru/upload/iblock/0fe/torsher-eurosvet-009-1t-rdm-1.jpeg|https://www.vamsvet.ru/upload/iblock/e8e/torsher-eurosvet-009-1t-rdm-2.jpeg;Majorka;Утонченная модель 009/1T RDM от российской компании Eurosvet относится к коллекции Majorka и отлично подойдет для установки на пол в гостиной, оформленной в стиле арт-деко. Торшер Eurosvet 009/1T RDM с конусными плафонами осветит помещение площадью 4 кв. м. Производитель Eurosvet рекомендует использовать для устройства лампы накаливания с цоколем E27 и мощностью 60 W. Прибор произведен с использованием материалов: текстиль, металл и ткань. Основным цветом товара является янтарный и хромовый. Торшер 009/1T RDM продается по цене 9000 руб. Торопитесь сделать заказ в интернет-магазине ВамСвет.;Артикул:009/1T RDM||Бренд:Eurosvet||Страна бренда:Россия||Страна производства:Китай||Коллекция:Majorka||Стиль:Арт-деко||Высота, мм:1600||Диаметр, мм:450||Тип цоколя:E27||Тип лампочки (основной):Накаливания||Количество ламп:1||Мощность лампы, W:60||Общая мощность, W:60||Напряжение, V:220-240||Виды материалов:Текстильные||Материал арматуры:Металл||Материал плафонов:Ткань||Вид рассеивателя:Абажур||Форма рассеивателя:Конусный||Цвет:Янтарный||Цвет арматуры:Хром||Цвет плафонов:Янтарный||Степень защиты:IP20||Интерьер:Для гостиной||Место установки:На пол||Пульт ДУ:Нет||Срок службы:6 лет||Гарантия производителя:12 месяцев||Гарантия магазина:12 месяцев||Раздел:Торшеры||Каталог:С 1 плафоном
Торшер Freya Driana FR2405-FL-01-BZ;FR2405-FL-01-BZ;Freya;Германия;Торшеры;С 1 плафоном;19990;https://www.vamsvet.ru/upload/iblock/c78/vamsvet-torsher-freya-driana-fr2405-fl-01-bz.jpeg|https://www.vamsvet.ru/upload/iblock/c6c/torsher-freya-driana-fr2405-fl-01-bz-1.jpeg|https://www.vamsvet.ru/upload/iblock/0bb/torsher-freya-driana-fr2405-fl-01-bz-2.jpeg|https://www.vamsvet.ru/upload/iblock/f32/torsher-freya-driana-fr2405-fl-01-bz-3.jpeg|https://www.vamsvet.ru/upload/iblock/465/torsher-freya-driana-fr2405-fl-01-bz-4.jpeg|https://www.vamsvet.ru/upload/iblock/910/torsher-freya-driana-fr2405-fl-01-bz-5.jpeg|https://www.vamsvet.ru/upload/iblock/c78/vamsvet-torsher-freya-driana-fr2405-fl-01-bz.jpeg|https://www.vamsvet.ru/upload/iblock/c6c/torsher-freya-driana-fr2405-fl-01-bz-1.jpeg|https://www.vamsvet.ru/upload/iblock/0bb/torsher-freya-driana-fr2405-fl-01-bz-2.jpeg|https://www.vamsvet.ru/upload/iblock/f32/torsher-freya-driana-fr2405-fl-01-bz-3.jpeg|https://www.vamsvet.ru/upload/iblock/465/torsher-freya-driana-fr2405-fl-01-bz-4.jpeg|https://www.vamsvet.ru/upload/iblock/910/torsher-freya-driana-fr2405-fl-01-bz-5.jpeg;Driana;Непревзойденная модель FR2405-FL-01-BZ от немецкой компании Freya относится к коллекции Driana и отлично подойдет для установки на пол спальни, оформленной в стиле флористика. Торшер Freya Driana FR2405-FL-01-BZ с конусными плафонами осветит помещение площадью 2.2 кв. м. Производитель Freya рекомендует использовать для устройства лампы накаливания с цоколем E14 и мощностью 40 W. Прибор произведен с использованием материалов: текстиль, металл и органза. Основным цветом товара является бежевый и бронзовый. Торшер FR2405-FL-01-BZ продается по цене 19990 руб. Торопитесь сделать заказ в интернет-магазине ВамСвет.;Артикул:FR2405-FL-01-BZ||Бренд:Freya||Страна бренда:Германия||Коллекция:Driana||Стиль:Флористика||Высота, мм:1583||Диаметр, мм:382||Тип цоколя:E14||Тип лампочки (основной):Накаливания||Количество ламп:1||Мощность лампы, W:40||Общая мощность, W:40||Площадь освещения, м2:2.2||Напряжение, V:220-240||Виды материалов:Текстильные||Материал арматуры:Металл||Материал плафонов:Органза||Вид рассеивателя:Абажур||Форма рассеивателя:Конусный||Цвет:Бежевый||Цвет арматуры:Бронза||Цвет плафонов:Бежевый||Степень защиты:IP20||Интерьер:Для спальни||Место установки:На пол||Пульт ДУ:Нет||Гарантия производителя:12 месяцев||Гарантия магазина:12 месяцев||Раздел:Торшеры||Каталог:С 1 плафоном
Торшер Freya Nubi FR5134-FL-01-BG;FR5134-FL-01-BG;Freya;Германия;Торшеры;С 1 плафоном;27590;https://www.vamsvet.ru/upload/iblock/532/vamsvet-torsher-freya-nubi-fr5134-fl-01-bg.jpeg|https://www.vamsvet.ru/upload/iblock/527/torsher-freya-nubi-fr5134-fl-01-bg-1.jpeg|https://www.vamsvet.ru/upload/iblock/a7f/torsher-freya-nubi-fr5134-fl-01-bg-2.jpeg|https://www.vamsvet.ru/upload/iblock/4a6/torsher-freya-nubi-fr5134-fl-01-bg-3.jpeg|https://www.vamsvet.ru/upload/iblock/532/vamsvet-torsher-freya-nubi-fr5134-fl-01-bg.jpeg|https://www.vamsvet.ru/upload/iblock/527/torsher-freya-nubi-fr5134-fl-01-bg-1.jpeg|https://www.vamsvet.ru/upload/iblock/a7f/torsher-freya-nubi-fr5134-fl-01-bg-2.jpeg|https://www.vamsvet.ru/upload/iblock/4a6/torsher-freya-nubi-fr5134-fl-01-bg-3.jpeg;Nubi;Восхитительная модель FR5134-FL-01-BG от немецкой компании Freya относится к коллекции Nubi и отлично подойдет для установки на пол в гостиной, оформленной в стиле кантри. Торшер Freya Nubi FR5134-FL-01-BG с конусными плафонами осветит помещение площадью 2.2 кв. м. Производитель Freya рекомендует использовать для устройства лампы накаливания с цоколем E27 и мощностью 40 W. Прибор произведен с использованием материалов: дерево и ткань. Основным цветом товара является бежевый. Торшер FR5134-FL-01-BG продается по цене 27590 руб. Торопитесь сделать заказ в интернет-магазине ВамСвет.;Артикул:FR5134-FL-01-BG||Бренд:Freya||Страна бренда:Германия||Коллекция:Nubi||Стиль:Кантри||Высота, мм:1600||Диаметр, мм:425||Тип цоколя:E27||Тип лампочки (основной):Накаливания||Количество ламп:1||Мощность лампы, W:40||Общая мощность, W:40||Площадь освещения, м2:2.2||Напряжение, V:220-240||Виды материалов:Деревянные||Материал арматуры:Дерево||Материал плафонов:Ткань||Вид рассеивателя:Абажур||Форма рассеивателя:Конусный||Цвет:Бежевый||Цвет арматуры:Бежевый||Цвет плафонов:Бежевый||Степень защиты:IP20||Интерьер:Для гостиной||Место установки:На пол||Пульт ДУ:Нет||Гарантия производителя:12 месяцев||Гарантия магазина:12 месяцев||Раздел:Торшеры||Каталог:С 1 плафоном
